Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode
Transfer,9,5,42.32,5024.3,Shipped,1,10,Garden & Tools,Tokyo,Japan,John,1690,Davis,Consumer,Tokyo State,252 Elm St,36208,100,Hardware,-11.1808,-94.9747,Pacific Asia,Perth,Australia,1690,0.0,0.0,184.39,0.2295,1,184.39,184.39,42.32,South Asia,Perth Province,Complete,Pressure Washer,184.39,Standard Class
Transfer,4,5,9.53,3599.15,Delivered,0,6,Health & Beauty,Puebla,Mexico,Robert,1310,Jones,Home Office,Puebla State,241 Cedar St,99126,60,Health,-2.1413,-167.2587,LATAM,Córdoba,Argentina,1310,1.8,0.05,35.95,0.2791,1,34.15,34.15,9.53,South America,Córdoba Province,Complete,Protein Powder 2lb,35.95,Standard Class
Debit,7,5,-25.13,4764.76,Shipped,1,9,Toys & Games,Sydney,Australia,Anthony,1089,Nguyen,Consumer,Sydney State,491 Cedar St,95394,90,Toys,-2.5102,-75.4268,Pacific Asia,Seoul,South Korea,1089,39.5,0.3,43.89,-0.2726,3,92.17,92.17,-25.13,South Asia,Seoul Province,Pending,Board Game Premium,43.89,Standard Class
Credit,1,1,61.94,4002.47,On Hold,0,5,Home & Kitchen,Johannesburg,South Africa,Nancy,1402,Smith,Home Office,Johannesburg State,761 Oak St,39657,50,Home,30.1582,-52.9211,Africa,Tamale,Ghana,1402,0.0,0.0,117.74,0.263,2,235.48,235.48,61.94,West Africa,Tamale Province,On Hold,Instant Pot,117.74,Same Day
Transfer,5,5,-72.54,1112.14,Processing,0,9,Toys & Games,Glasgow,United Kingdom,Jessica,1743,Miller,Home Office,Glasgow State,243 Elm St,24790,90,Toys,38.9832,-63.1447,Europe,Glasgow,United Kingdom,1743,125.08,0.3,104.23,-0.2486,4,291.84,291.84,-72.54,Southern Europe,Glasgow Province,Complete,Educational Tablet,104.23,Standard Class
Credit,3,1,62.17,1223.04,Processing,1,6,Health & Beauty,Houston,United States,Ashley,1715,Anderson,Consumer,Houston State,14 Cedar St,76507,60,Health,-16.9335,69.8535,USCA,Ottawa,Canada,1715,9.84,0.05,39.35,0.3326,5,186.91,186.91,62.17,North America,Ottawa Province,Complete,Protein Powder 2lb,39.35,Same Day
Credit,3,3,-3.34,1419.25,Delivered,0,7,Automotive,Tokyo,Japan,John,1690,Davis,Consumer,Tokyo State,252 Elm St,36208,70,Auto Parts,-11.1808,-94.9747,Pacific Asia,Osaka,Japan,1690,83.34,0.2,52.09,-0.01,8,333.38,333.38,-3.34,East Asia,Osaka Province,Pending,Tire Inflator,52.09,Second Class
Credit,5,5,-16.7,6493.16,Delivered,0,2,Technology,Santiago,Chile,Sandra,1506,Martin,Corporate,Santiago State,645 Pine St,74532,20,Electronics,56.7558,129.5357,LATAM,Tijuana,Mexico,1506,350.45,0.1,389.39,-0.0053,9,3154.06,3154.06,-16.7,South America,Tijuana Province,Complete,Monitor 27in,389.39,Standard Class
Credit,1,2,19.94,5709.96,Processing,0,7,Automotive,Chicago,United States,David,1633,Flores,Home Office,Chicago State,615 Elm St,67062,70,Auto Parts,13.7375,-53.6517,USCA,Phoenix,United States,1633,19.14,0.1,23.92,0.1158,8,172.22,172.22,19.94,North America,Phoenix Province,Complete,Car Phone Mount,23.92,First Class
Credit,6,5,53.21,6143.32,Delivered,1,8,Books,Vancouver,Canada,Richard,1109,Green,Corporate,Vancouver State,119 Oak St,59986,80,Media,14.35,25.4361,USCA,Chicago,United States,1109,0.0,0.0,38.34,0.1542,9,345.06,345.06,53.21,North America,Chicago Province,Complete,Python Programming,38.34,Standard Class
Credit,1,1,15.21,1535.84,Delivered,0,2,Technology,Johannesburg,South Africa,Matthew,1663,Garcia,Corporate,Johannesburg State,311 Elm St,96570,20,Electronics,61.7037,47.1854,Africa,Kisumu,Kenya,1663,4.86,0.05,48.56,0.1649,2,92.26,92.26,15.21,South Africa,Kisumu Province,Pending,Wireless Mouse,48.56,Same Day
Credit,1,1,27.32,6397.94,Shipped,0,6,Health & Beauty,Nagoya,Japan,Christopher,1370,Johnson,Consumer,Nagoya State,780 Main St,21233,60,Health,26.8584,104.7813,Pacific Asia,Daegu,South Korea,1370,12.37,0.1,41.24,0.2453,3,111.35,111.35,27.32,Oceania,Daegu Province,Complete,Protein Powder 2lb,41.24,Same Day
Debit,1,1,91.66,7395.65,Shipped,0,1,Furniture,Chennai,India,Maria,1150,Thomas,Home Office,Chennai State,85 Pine St,70521,10,Office Supplies,-1.2512,-150.6574,Pacific Asia,Seoul,South Korea,1150,0.0,0.0,173.71,0.2638,2,347.42,347.42,91.66,Oceania,Seoul Province,Complete,Filing Cabinet,173.71,Same Day
Transfer,2,2,-26.84,7379.51,Delivered,0,10,Garden & Tools,Valencia,Spain,Thomas,1647,Thompson,Consumer,Valencia State,545 Cedar St,21592,100,Hardware,-28.1199,44.4254,Europe,Liverpool,United Kingdom,1647,119.03,0.15,113.36,-0.0398,7,674.49,674.49,-26.84,Northern Europe,Liverpool Province,Complete,Cordless Drill,113.36,First Class
Transfer,1,1,-35.48,5855.77,Delivered,0,7,Automotive,Nagoya,Japan,Karen,1660,Smith,Home Office,Nagoya State,18 Main St,11567,70,Auto Parts,-6.5377,8.5898,Pacific Asia,Brisbane,Australia,1660,83.9,0.3,46.61,-0.1812,6,195.76,195.76,-35.48,South Asia,Brisbane Province,Complete,Tire Inflator,46.61,Same Day
Transfer,1,2,543.17,5866.77,Delivered,0,3,Apparel,Los Angeles,United States,Dorothy,1554,Garcia,Home Office,Los Angeles State,421 Cedar St,54238,30,Fashion,25.4791,11.5262,USCA,Vancouver,Canada,1554,0.0,0.0,169.92,0.3552,9,1529.28,1529.28,543.17,North America,Vancouver Province,Complete,Winter Coat,169.92,First Class
Credit,6,5,-314.28,2932.63,Delivered,0,2,Technology,Ottawa,Canada,Sandra,1382,Thomas,Consumer,Ottawa State,537 Oak St,18600,20,Electronics,-19.554,2.3104,USCA,Vancouver,Canada,1382,424.19,0.2,1060.47,-0.1852,2,1696.75,1696.75,-314.28,North America,Vancouver Province,Pending,Laptop 15in,1060.47,Standard Class
Debit,3,3,3.45,839.19,Shipped,0,10,Garden & Tools,Antofagasta,Chile,Susan,1732,Flores,Consumer,Antofagasta State,23 Oak St,77917,100,Hardware,-23.4157,94.7947,LATAM,Puebla,Mexico,1732,8.95,0.1,44.75,0.0428,2,80.55,80.55,3.45,Central America,Puebla Province,Complete,Garden Hose 50ft,44.75,Second Class
Credit,2,1,171.97,5574.34,Shipped,0,7,Automotive,Montreal,Canada,Sandra,1488,Moore,Corporate,Montreal State,588 Pine St,90200,70,Auto Parts,-24.1771,61.4059,USCA,Calgary,Canada,1488,0.0,0.0,84.88,0.3377,6,509.28,509.28,171.97,North America,Calgary Province,Complete,Dash Cam HD,84.88,Same Day
Debit,5,5,-131.5,7389.24,Shipped,0,7,Automotive,Barcelona,Spain,Anthony,1148,Nguyen,Home Office,Barcelona State,87 Oak St,92306,70,Auto Parts,4.2352,86.5116,Europe,Nice,France,1148,219.24,0.3,91.35,-0.2571,8,511.56,511.56,-131.5,Southern Europe,Nice Province,Complete,Dash Cam HD,91.35,Standard Class
Transfer,5,5,-7.65,1308.69,Delivered,0,10,Garden & Tools,Hyderabad,India,Linda,1113,Miller,Consumer,Hyderabad State,815 Cedar St,57953,100,Hardware,9.0108,140.5856,Pacific Asia,Seoul,South Korea,1113,48.7,0.15,324.65,-0.0277,1,275.95,275.95,-7.65,East Asia,Seoul Province,Complete,Lawn Mower Electric,324.65,Standard Class
Credit,4,1,13.02,2615.67,Delivered,1,7,Automotive,Accra,Ghana,Lisa,1313,King,Consumer,Accra State,460 Pine St,37925,70,Auto Parts,21.6504,-118.5328,Africa,Suez,Egypt,1313,8.42,0.1,28.06,0.1719,3,75.76,75.76,13.02,South Africa,Suez Province,Complete,Car Phone Mount,28.06,Same Day
Credit,2,1,38.26,3220.43,Shipped,0,6,Health & Beauty,Antofagasta,Chile,Jennifer,1487,Thompson,Consumer,Antofagasta State,394 Oak St,51405,60,Health,-6.8501,-133.7617,LATAM,Bogotá,Colombia,1487,6.49,0.05,43.24,0.3105,3,123.23,123.23,38.26,Central America,Bogotá Province,Complete,Protein Powder 2lb,43.24,Same Day
Transfer,4,3,-44.52,1700.93,Delivered,0,6,Health & Beauty,Brisbane,Australia,Nancy,1047,White,Corporate,Brisbane State,422 Pine St,82667,60,Health,-43.4526,-27.0482,Pacific Asia,Chengdu,China,1047,152.13,0.3,101.42,-0.1254,5,354.97,354.97,-44.52,East Asia,Chengdu Province,Closed,Hair Dryer Pro,101.42,Second Class
Transfer,7,5,58.76,6743.56,Delivered,1,9,Toys & Games,Chennai,India,Betty,1776,Jackson,Home Office,Chennai State,771 Oak St,65426,90,Toys,-31.6589,-133.6832,Pacific Asia,Osaka,Japan,1776,72.33,0.1,90.41,0.0903,8,650.95,650.95,58.76,Oceania,Osaka Province,Complete,Educational Tablet,90.41,Standard Class
Debit,7,5,-81.58,2205.99,Shipped,1,8,Books,Shanghai,China,Charles,1547,Wright,Consumer,Shanghai State,54 Oak St,33414,80,Media,53.5541,-101.2931,Pacific Asia,Brisbane,Australia,1547,92.03,0.25,36.81,-0.2955,10,276.08,276.08,-81.58,South Asia,Brisbane Province,Complete,Python Programming,36.81,Standard Class
Debit,7,3,93.34,411.94,Delivered,1,2,Technology,Rosario,Argentina,William,1173,Torres,Consumer,Rosario State,375 Main St,55193,20,Electronics,-28.6536,53.4155,LATAM,Concepción,Chile,1173,31.33,0.05,125.3,0.1568,5,595.17,595.17,93.34,South America,Concepción Province,Complete,Mechanical Keyboard,125.3,Second Class
Credit,7,5,-54.38,7604.99,On Hold,1,5,Home & Kitchen,Puebla,Mexico,Sandra,1102,King,Consumer,Puebla State,86 Elm St,44737,50,Home,-15.987,65.5196,LATAM,Puebla,Mexico,1102,80.85,0.25,53.9,-0.2242,6,242.55,242.55,-54.38,Central America,Puebla Province,On Hold,Knife Set,53.9,Standard Class
Transfer,2,3,365.6,6151.23,Delivered,0,1,Furniture,Lyon,France,Susan,1476,Allen,Home Office,Lyon State,846 Main St,96652,10,Office Supplies,-30.055,105.7987,Europe,Madrid,Spain,1476,0.0,0.0,196.23,0.2329,8,1569.84,1569.84,365.6,Western Europe,Madrid Province,Closed,Bookshelf Unit,196.23,Second Class
Credit,2,3,187.72,525.98,Delivered,0,3,Apparel,Pretoria,South Africa,Ashley,1582,Nguyen,Consumer,Pretoria State,681 Cedar St,30715,30,Fashion,-18.7255,19.4957,Africa,Luxor,Egypt,1582,0.0,0.0,65.11,0.3203,9,585.99,585.99,187.72,East Africa,Luxor Province,Closed,Casual Sneakers,65.11,Second Class
Transfer,4,1,64.45,554.78,Shipped,1,10,Garden & Tools,Calgary,Canada,Richard,1669,Green,Home Office,Calgary State,809 Main St,80795,100,Hardware,-30.6399,-39.2959,USCA,Phoenix,United States,1669,0.0,0.0,227.46,0.2834,1,227.46,227.46,64.45,North America,Phoenix Province,Complete,Pressure Washer,227.46,Same Day
Transfer,1,2,-21.28,2238.61,On Hold,0,9,Toys & Games,Brisbane,Australia,Karen,1072,Smith,Home Office,Brisbane State,980 Oak St,21221,90,Toys,-28.6237,-31.8144,Pacific Asia,Bangalore,India,1072,48.27,0.25,96.54,-0.147,2,144.81,144.81,-21.28,Oceania,Bangalore Province,Closed,Educational Tablet,96.54,First Class
Credit,4,2,-27.06,5447.11,Delivered,1,8,Books,Cape Town,South Africa,James,1252,Wilson,Home Office,Cape Town State,967 Cedar St,85909,80,Media,33.6016,-69.6346,Africa,Cairo,Egypt,1252,35.81,0.2,29.84,-0.1889,6,143.23,143.23,-27.06,West Africa,Cairo Province,On Hold,Business Strategy,29.84,First Class
Transfer,1,1,13.67,6745.34,Shipped,0,9,Toys & Games,Mumbai,India,Ashley,1781,Flores,Consumer,Mumbai State,314 Oak St,31001,90,Toys,59.0658,44.6599,Pacific Asia,Hyderabad,India,1781,0.0,0.0,24.95,0.2739,2,49.9,49.9,13.67,East Asia,Hyderabad Province,On Hold,Puzzle 1000pc,24.95,Same Day
Debit,6,5,108.85,6505.63,Delivered,0,1,Furniture,Concepción,Chile,Richard,1474,Nelson,Consumer,Concepción State,538 Elm St,56255,10,Office Supplies,46.2408,-52.689,LATAM,Fortaleza,Brazil,1474,237.43,0.1,296.79,0.0509,8,2136.89,2136.89,108.85,Central America,Fortaleza Province,Complete,Office Chair Pro,296.79,Standard Class
Debit,4,3,-94.2,1529.72,Shipped,0,4,Sporting Goods,Houston,United States,Patricia,1372,Williams,Corporate,Houston State,934 Main St,75811,40,Sports,14.2586,5.7179,USCA,Ottawa,Canada,1372,150.03,0.3,50.01,-0.2691,10,350.07,350.07,-94.2,North America,Ottawa Province,Complete,Bicycle Helmet,50.01,Second Class
Credit,4,3,32.15,5509.31,Delivered,0,10,Garden & Tools,Concepción,Chile,Barbara,1579,Jones,Corporate,Concepción State,928 Elm St,96105,100,Hardware,-42.1561,78.1625,LATAM,Fortaleza,Brazil,1579,15.01,0.05,150.08,0.1127,2,285.15,285.15,32.15,Central America,Fortaleza Province,Complete,Tool Set 128pc,150.08,Second Class
Credit,5,1,278.49,1951.48,Shipped,1,1,Furniture,Seville,Spain,James,1657,Taylor,Corporate,Seville State,401 Pine St,79501,10,Office Supplies,28.7739,-156.054,Europe,Madrid,Spain,1657,0.0,0.0,169.86,0.2733,6,1019.16,1019.16,278.49,Northern Europe,Madrid Province,Complete,Filing Cabinet,169.86,Same Day
Debit,4,5,-16.78,2767.95,Shipped,0,7,Automotive,Hamburg,Germany,Nancy,1460,Hill,Home Office,Hamburg State,882 Main St,81939,70,Auto Parts,-0.0355,16.886,Europe,Lyon,France,1460,38.18,0.25,38.18,-0.1465,4,114.54,114.54,-16.78,Western Europe,Lyon Province,Complete,Car Vacuum,38.18,Standard Class
Transfer,1,2,2766.37,6608.74,Delivered,0,2,Technology,Rome,Italy,Dorothy,1492,Williams,Consumer,Rome State,492 Cedar St,67065,20,Electronics,-48.5417,-80.5487,Europe,Marseille,France,1492,0.0,0.0,1107.78,0.2497,10,11077.8,11077.8,2766.37,Western Europe,Marseille Province,Pending,Laptop 15in,1107.78,First Class
Credit,6,5,-11.7,683.62,Delivered,1,4,Sporting Goods,Accra,Ghana,James,1795,Wilson,Home Office,Accra State,644 Elm St,49650,40,Sports,67.0781,58.2291,Africa,Nairobi,Kenya,1795,22.05,0.3,36.75,-0.2275,2,51.45,51.45,-11.7,West Africa,Nairobi Province,Complete,Yoga Mat,36.75,Standard Class
Transfer,9,5,118.92,6943.75,Shipped,1,1,Furniture,Mendoza,Argentina,Linda,1626,Scott,Home Office,Mendoza State,922 Cedar St,92505,10,Office Supplies,48.7027,67.7843,LATAM,La Serena,Chile,1626,0.0,0.0,199.69,0.2978,2,399.38,399.38,118.92,South America,La Serena Province,Complete,Bookshelf Unit,199.69,Standard Class
Debit,3,2,-146.48,1701.35,Delivered,0,10,Garden & Tools,Daejeon,South Korea,Jennifer,1465,Garcia,Home Office,Daejeon State,631 Main St,46780,100,Hardware,51.6328,-122.3994,Pacific Asia,Brisbane,Australia,1465,246.5,0.25,98.6,-0.1981,10,739.5,739.5,-146.48,Oceania,Brisbane Province,Pending,Cordless Drill,98.6,First Class
Debit,2,2,464.39,6416.8,On Hold,0,1,Furniture,Valencia,Spain,Sandra,1731,Anderson,Home Office,Valencia State,829 Pine St,45580,10,Office Supplies,29.1077,64.0379,Europe,Lyon,France,1731,824.28,0.1,824.28,0.0626,10,7418.52,7418.52,464.39,Western Europe,Lyon Province,Pending,Conference Table,824.28,First Class
Transfer,6,3,-0.43,4237.91,On Hold,1,3,Apparel,Vancouver,Canada,Jennifer,1599,Adams,Consumer,Vancouver State,993 Oak St,10463,30,Fashion,20.9328,-83.9423,USCA,Montreal,Canada,1599,65.58,0.2,65.58,-0.0016,5,262.32,262.32,-0.43,North America,Montreal Province,Complete,Casual Sneakers,65.58,Second Class
Credit,2,3,213.89,5596.36,Delivered,0,3,Apparel,Pretoria,South Africa,Karen,1244,Martin,Consumer,Pretoria State,362 Elm St,78742,30,Fashion,-18.5645,-28.4496,Africa,Pretoria,South Africa,1244,0.0,0.0,91.38,0.3344,7,639.66,639.66,213.89,South Africa,Pretoria Province,Complete,Men's Jacket,91.38,Second Class
Debit,6,2,-232.19,1939.6,Delivered,1,10,Garden & Tools,Hyderabad,India,Linda,1593,White,Corporate,Hyderabad State,637 Main St,77760,100,Hardware,57.4778,-12.3832,Pacific Asia,Tokyo,Japan,1593,414.52,0.2,207.26,-0.14,10,1658.08,1658.08,-232.19,Oceania,Tokyo Province,Pending,Pressure Washer,207.26,First Class
Debit,2,3,-38.7,4526.59,Delivered,0,8,Books,Frankfurt,Germany,Barbara,1219,King,Consumer,Frankfurt State,63 Main St,64172,80,Media,-17.0618,-9.3827,Europe,Munich,Germany,1219,51.06,0.2,36.47,-0.1895,7,204.23,204.23,-38.7,Western Europe,Munich Province,Complete,Finance Fundamentals,36.47,Second Class
Debit,5,3,-2.91,1592.62,Delivered,1,5,Home & Kitchen,Vancouver,Canada,Sandra,1200,Adams,Consumer,Vancouver State,843 Pine St,85718,50,Home,33.7467,-105.4564,USCA,Chicago,United States,1200,11.64,0.2,58.18,-0.0625,1,46.54,46.54,-2.91,North America,Chicago Province,Complete,Knife Set,58.18,Second Class
Transfer,7,5,107.8,5355.09,Delivered,1,3,Apparel,Tokyo,Japan,Jessica,1104,Brown,Home Office,Tokyo State,730 Main St,68153,30,Fashion,-38.3726,-68.1815,Pacific Asia,Nagoya,Japan,1104,20.59,0.05,58.84,0.2755,7,391.29,391.29,107.8,South Asia,Nagoya Province,Pending,Casual Sneakers,58.84,Standard Class
Debit,4,3,163.59,2107.49,Delivered,0,10,Garden & Tools,Busan,South Korea,Susan,1729,Garcia,Consumer,Busan State,289 Pine St,64986,100,Hardware,22.7121,154.7532,Pacific Asia,Perth,Australia,1729,47.97,0.05,319.8,0.1795,3,911.43,911.43,163.59,Oceania,Perth Province,Complete,Lawn Mower Electric,319.8,Second Class
Credit,5,5,-21.33,5872.93,Delivered,0,10,Garden & Tools,Port Harcourt,Nigeria,Daniel,1194,Garcia,Home Office,Port Harcourt State,974 Cedar St,30210,100,Hardware,-37.7439,42.3229,Africa,Takoradi,Ghana,1194,79.68,0.15,177.06,-0.0472,3,451.5,451.5,-21.33,West Africa,Takoradi Province,Closed,Tool Set 128pc,177.06,Standard Class
Transfer,6,3,-76.87,4733.26,Processing,1,10,Garden & Tools,Nairobi,Kenya,Charles,1172,Moore,Home Office,Nairobi State,815 Cedar St,82633,100,Hardware,-57.3565,126.9327,Africa,Suez,Egypt,1172,162.7,0.2,101.69,-0.1181,8,650.82,650.82,-76.87,East Africa,Suez Province,Pending,Cordless Drill,101.69,Second Class
Debit,5,1,65.56,4494.31,Shipped,1,10,Garden & Tools,Tijuana,Mexico,David,1213,Moore,Corporate,Tijuana State,688 Elm St,78875,100,Hardware,-11.0128,155.2731,LATAM,Monterrey,Mexico,1213,75.62,0.1,94.53,0.0963,8,680.62,680.62,65.56,Central America,Monterrey Province,On Hold,Cordless Drill,94.53,Same Day
Debit,2,2,-4.31,2329.55,Shipped,0,2,Technology,Toronto,Canada,Sarah,1456,Garcia,Home Office,Toronto State,235 Oak St,61248,20,Electronics,43.5802,118.8189,USCA,Calgary,Canada,1456,81.35,0.1,81.35,-0.0059,10,732.15,732.15,-4.31,North America,Calgary Province,Complete,USB-C Hub,81.35,First Class
Credit,3,2,101.81,1124.99,Processing,0,3,Apparel,Berlin,Germany,Dorothy,1240,Wright,Corporate,Berlin State,639 Main St,41544,30,Fashion,-33.2094,-135.6951,Europe,Birmingham,United Kingdom,1240,0.0,0.0,43.49,0.3901,6,260.94,260.94,101.81,Western Europe,Birmingham Province,Complete,Formal Shirt,43.49,First Class
Credit,4,2,-352.68,6614.01,Processing,1,1,Furniture,Mombasa,Kenya,David,1206,Allen,Home Office,Mombasa State,421 Cedar St,15276,10,Office Supplies,-54.1106,-123.4076,Africa,Kano,Nigeria,1206,884.11,0.2,884.11,-0.0997,5,3536.44,3536.44,-352.68,East Africa,Kano Province,Complete,Conference Table,884.11,First Class
Transfer,2,3,-44.72,4778.63,Delivered,0,7,Automotive,Chennai,India,Betty,1776,Jackson,Home Office,Chennai State,771 Oak St,65426,70,Auto Parts,-31.6589,-133.6832,Pacific Asia,Busan,South Korea,1776,112.02,0.3,41.49,-0.1711,9,261.39,261.39,-44.72,Oceania,Busan Province,Complete,Car Vacuum,41.49,Second Class
Transfer,5,1,-12.92,2583.46,Processing,1,8,Books,Cartagena,Colombia,Barbara,1349,Smith,Corporate,Cartagena State,69 Elm St,79393,80,Media,-13.5337,28.5562,LATAM,Medellín,Colombia,1349,19.33,0.2,24.16,-0.1671,4,77.31,77.31,-12.92,South America,Medellín Province,Complete,Leadership 101,24.16,Same Day
Debit,2,1,-49.68,4627.1,Processing,0,1,Furniture,Buenos Aires,Argentina,David,1675,Hill,Home Office,Buenos Aires State,693 Cedar St,70079,10,Office Supplies,62.2117,125.868,LATAM,Cartagena,Colombia,1675,141.01,0.2,176.26,-0.0881,4,564.03,564.03,-49.68,South America,Cartagena Province,Complete,Filing Cabinet,176.26,Same Day
Transfer,5,1,-84.36,7703.12,Delivered,1,3,Apparel,Liverpool,United Kingdom,Maria,1339,Miller,Corporate,Liverpool State,161 Main St,42534,30,Fashion,65.892,-35.2769,Europe,Munich,Germany,1339,217.0,0.25,124.0,-0.1296,7,651.0,651.0,-84.36,Northern Europe,Munich Province,Pending,Women's Blazer,124.0,Same Day
Transfer,3,1,13.39,2470.62,Delivered,1,5,Home & Kitchen,Munich,Germany,Ashley,1176,Taylor,Home Office,Munich State,417 Cedar St,72049,50,Home,-27.0692,86.1189,Europe,Birmingham,United Kingdom,1176,3.66,0.05,73.16,0.1926,1,69.5,69.5,13.39,Western Europe,Birmingham Province,Complete,Coffee Maker,73.16,Same Day
Debit,1,1,240.7,3234.14,Delivered,0,2,Technology,Houston,United States,Barbara,1059,Wilson,Corporate,Houston State,507 Main St,60968,20,Electronics,-16.3032,60.9082,USCA,Calgary,Canada,1059,0.0,0.0,395.87,0.2027,3,1187.61,1187.61,240.7,North America,Calgary Province,Closed,Monitor 27in,395.87,Same Day
Credit,3,2,-45.25,3676.71,Shipped,0,3,Apparel,Delhi,India,Richard,1318,Green,Home Office,Delhi State,440 Pine St,81612,30,Fashion,28.7825,89.3268,Pacific Asia,Tokyo,Japan,1318,107.96,0.3,119.96,-0.1796,3,251.92,251.92,-45.25,East Asia,Tokyo Province,Complete,Women's Blazer,119.96,First Class
Debit,5,5,-75.18,3437.41,Shipped,0,10,Garden & Tools,Córdoba,Argentina,James,1539,Johnson,Home Office,Córdoba State,812 Elm St,88146,100,Hardware,-39.851,92.071,LATAM,Barranquilla,Colombia,1539,106.08,0.3,44.2,-0.3037,8,247.52,247.52,-75.18,South America,Barranquilla Province,Complete,Garden Hose 50ft,44.2,Standard Class
